station,x,r,Ux,Ur,Uz,k,epsilon,nut
expansion_4D,2.6,0.04905268,1.0197134,1.3272428e-05,-6.9988459e-13,0.039357856,3.6650712,1.4585477e-05
expansion_4D,2.6,0.049007433,1.0472497,1.422462e-05,-7.3126698e-13,0.04061335,3.6751363,1.6143153e-05
expansion_4D,2.6,0.048959952,1.0746994,1.5180639e-05,-1.0299929e-12,0.041864984,3.6852043,1.7695844e-05
expansion_4D,2.6,0.048910129,1.099568,1.6276129e-05,-1.0136896e-12,0.042754153,3.6451647,1.9579614e-05
expansion_4D,2.6,0.048857846,1.1217723,1.7497491e-05,-7.4670599e-13,0.043285036,3.5565744,2.1774185e-05
expansion_4D,2.6,0.048802984,1.1439813,1.871663e-05,-7.722393e-13,0.043815953,3.467935,2.3969294e-05
expansion_4D,2.6,0.048745414,1.1672864,1.9995935e-05,-7.9903268e-13,0.044373071,3.3749212,2.6272731e-05
expansion_4D,2.6,0.048685003,1.1917415,2.1338374e-05,-8.2714833e-13,0.044957683,3.2773171,2.8689844e-05
expansion_4D,2.6,0.04862161,1.2160205,2.2681547e-05,-1.2433449e-12,0.045538187,3.1804567,3.1089446e-05
expansion_4D,2.6,0.048555089,1.237444,2.4285904e-05,-9.8743874e-13,0.045829382,3.0717807,3.4013829e-05
expansion_4D,2.6,0.048485286,1.2575722,2.5954823e-05,-8.481746e-13,0.046016157,2.9605412,3.7078134e-05
expansion_4D,2.6,0.048412037,1.2782555,2.7668799e-05,-8.7218042e-13,0.046208054,2.8462225,4.0226982e-05
expansion_4D,2.6,0.048335174,1.2999595,2.946736e-05,-8.9737093e-13,0.04640942,2.7262622,4.3531226e-05
expansion_4D,2.6,0.048254517,1.3218315,3.1290142e-05,-1.2737815e-12,0.046612409,2.6053965,4.6860996e-05
expansion_4D,2.6,0.04816988,1.3418751,3.3391021e-05,-1.099826e-12,0.046689857,2.4941552,5.0636507e-05
expansion_4D,2.6,0.048081066,1.360598,3.5617125e-05,-9.2258955e-13,0.046694302,2.389916,5.4615615e-05
expansion_4D,2.6,0.04798787,1.3798287,3.7902983e-05,-9.4515819e-13,0.046698841,2.2828406,5.8702676e-05
expansion_4D,2.6,0.047890073,1.4000085,4.0301649e-05,-9.6884059e-13,0.046703604,2.170481,6.2991435e-05
expansion_4D,2.6,0.047787451,1.4199839,4.2695644e-05,-1.5941129e-12,0.046708399,2.0592855,6.7236684e-05
expansion_4D,2.6,0.047679764,1.4379802,4.5622094e-05,-9.7421699e-13,0.046614454,1.9686099,7.2188662e-05
expansion_4D,2.6,0.047566763,1.4557063,4.8515044e-05,-9.9533601e-13,0.046520517,1.879406,7.7081681e-05
